facility_name,latitude,longitude,observed_datetime,hour_of_day,day_of_week,is_weekend,is_holiday,capacity,base_rate_kes,traffic_delay_index,occupied_bays,occupancy_rate,is_available
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,14,0.2797,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,11,0.2289,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,15,0.2918,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,18,0.3618,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,11,0.2213,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 06:00:00,6,5,1,0,50,300,1.15,11,0.2213,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 06:00:00,6,5,1,0,50,100,1.16,18,0.3663,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,15,0.3014,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 06:00:00,6,5,1,0,50,200,1.0,10,0.2024,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 06:00:00,6,5,1,0,50,50,1.0,14,0.2834,1
Student parking,-1.274479,36.805643,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,10,0.2029,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,10,0.2027,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,13,0.2594,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 06:00:00,6,5,1,0,50,100,1.19,5,0.1,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 06:00:00,6,5,1,0,50,100,1.18,5,0.102,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,10,0.195,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,8,0.159,1
Parking B,-1.2806414,36.8128716,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,13,0.2651,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,8,0.1674,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 06:00:00,6,5,1,0,50,100,1.0,6,0.127,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,18,0.3573,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,11,0.2219,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,12,0.2454,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,6,0.126,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,10,0.1964,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 07:00:00,7,5,1,0,50,300,1.15,12,0.2489,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 07:00:00,7,5,1,0,50,100,1.16,7,0.1479,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,14,0.2701,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 07:00:00,7,5,1,0,50,200,1.0,10,0.1919,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 07:00:00,7,5,1,0,50,50,1.0,11,0.2167,1
Student parking,-1.274479,36.805643,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,10,0.1919,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,19,0.3882,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,12,0.2389,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 07:00:00,7,5,1,0,50,100,1.19,8,0.1554,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 07:00:00,7,5,1,0,50,100,1.18,15,0.3058,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,7,0.1423,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,13,0.2567,1
Parking B,-1.2806414,36.8128716,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,5,0.1,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,7,0.1337,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 07:00:00,7,5,1,0,50,100,1.0,13,0.2557,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,28,0.5691,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,26,0.5237,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,25,0.5007,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,24,0.4859,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,20,0.3917,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-01 08:00:00,8,5,1,0,50,300,1.15,23,0.4524,1
Unnamed Parking,-1.25013,36.8202579,2026-08-01 08:00:00,8,5,1,0,50,100,1.16,24,0.4731,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,30,0.5946,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-01 08:00:00,8,5,1,0,50,200,1.0,27,0.5375,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-01 08:00:00,8,5,1,0,50,50,1.0,18,0.369,1
Student parking,-1.274479,36.805643,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,27,0.5359,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,24,0.4792,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,23,0.4558,1
Unnamed Parking,-1.259848,36.8644681,2026-08-01 08:00:00,8,5,1,0,50,100,1.19,28,0.5589,1
Travel House Parking,-1.2861727,36.8214386,2026-08-01 08:00:00,8,5,1,0,50,100,1.18,30,0.5925,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,29,0.5845,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,22,0.4429,1
Parking B,-1.2806414,36.8128716,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,24,0.4853,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,27,0.5365,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-01 08:00:00,8,5,1,0,50,100,1.0,29,0.588,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,24,0.4717,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,25,0.4951,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-01 09:00:00,9,5,1,0,50,100,1.0,21,0.4215,1
