osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access,facility_name_clean,category,zone,operator_tier,pricing_source,tariff_model,base_rate_kes,penalty_fee_kes,county_cost_basis_kes,security_score,accessibility_score,price_transparency_score,overall_rating,sentiment_data_source,time_period,current_speed_kmh,free_flow_speed_kmh,traffic_delay_index,traffic_data_source,total_capacity_bays,capacity_is_reported,distance_to_cbd_km,tier,relative_parking_pressure_index,historical_occupancy_reference_pct,historical_reference_source,validation_status,parking_pressure_score,curb_length_m,estimated_capacity,capacity_source,capacity_fetch_status,cluster_id
1548466196,Unnamed Parking,-1.3246963,36.84856783333333,street_side,unknown,,24/7,public,"Parking Spot (-1.3247, 36.8486)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,42,42,1.0,tomtom_flow_api,,False,5.808470543056271,tier2_other,0.0,,,no_ground_truth_reference_available,,70.0,14,estimated_from_street_length_ITDP_methodology,ok_way,1548466197
1548466197,Unnamed Parking,-1.3249668666666667,36.84859611111111,street_side,unknown,,24/7,public,"Parking Spot (-1.3250, 36.8486)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,42,42,1.0,tomtom_flow_api,,False,5.83425130959051,tier2_other,0.0,,,no_ground_truth_reference_available,,228.0,46,estimated_from_street_length_ITDP_methodology,ok_way,1548466197
1549029426,Unnamed Parking,-1.3265058,36.84824091666667,street_side,unknown,,24/7,public,"Parking Spot (-1.3265, 36.8482)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,43,64,1.49,tomtom_flow_api,,False,5.94768618838064,tier2_other,24.5,,,no_ground_truth_reference_available,,262.6,53,estimated_from_street_length_ITDP_methodology,ok_way,1549029426
1550656747,Unnamed Parking,-1.3303984400000002,36.86405446,street_side,unknown,,24/7,public,"Parking Spot (-1.3304, 36.8641)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.425574717000954,tier2_other,34.5,,,no_ground_truth_reference_available,,186.3,37,estimated_from_street_length_ITDP_methodology,ok_way,1550656747
1550656748,Unnamed Parking,-1.33025642,36.86587872,street_side,unknown,,24/7,public,"Parking Spot (-1.3303, 36.8659)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.559778157296008,tier2_other,34.5,,,no_ground_truth_reference_available,,1159.6,232,estimated_from_street_length_ITDP_methodology,ok_way,1550656750
1550656749,Unnamed Parking,-1.33026272,36.86509044,street_side,unknown,,24/7,public,"Parking Spot (-1.3303, 36.8651)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.497139089044269,tier2_other,34.5,,,no_ground_truth_reference_available,,168.8,34,estimated_from_street_length_ITDP_methodology,ok_way,1550656749
1550656750,Unnamed Parking,-1.3301224400000002,36.86611276,street_side,unknown,,24/7,public,"Parking Spot (-1.3301, 36.8661)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.568358221730056,tier2_other,34.5,,,no_ground_truth_reference_available,,173.2,35,estimated_from_street_length_ITDP_methodology,ok_way,1550656750
1550656751,Unnamed Parking,-1.32997708,36.86715564,street_side,unknown,,24/7,public,"Parking Spot (-1.3300, 36.8672)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.641929481136541,tier2_other,34.5,,,no_ground_truth_reference_available,,166.0,33,estimated_from_street_length_ITDP_methodology,ok_way,1550656751
1550656752,Unnamed Parking,-1.32984526,36.8681529,street_side,unknown,,24/7,public,"Parking Spot (-1.3298, 36.8682)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.713823386052068,tier2_other,34.5,,,no_ground_truth_reference_available,,177.5,35,estimated_from_street_length_ITDP_methodology,ok_way,1550656752
1550656753,Unnamed Parking,-1.32952312,36.86923844,street_side,unknown,,24/7,public,"Parking Spot (-1.3295, 36.8692)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.780013934374532,tier2_other,34.5,,,no_ground_truth_reference_available,,59.4,12,estimated_from_street_length_ITDP_methodology,ok_way,1550656754
1550656754,Unnamed Parking,-1.32950986,36.86929672,street_side,unknown,,24/7,public,"Parking Spot (-1.3295, 36.8693)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.783905364410426,tier2_other,34.5,,,no_ground_truth_reference_available,,52.3,10,estimated_from_street_length_ITDP_methodology,ok_way,1550656754
1550657963,Unnamed Parking,-1.33027524,36.86272318,street_side,unknown,,24/7,public,"Parking Spot (-1.3303, 36.8627)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.3116092780530835,tier2_other,34.5,,,no_ground_truth_reference_available,,140.4,28,estimated_from_street_length_ITDP_methodology,ok_way,1550657968
1550657964,Unnamed Parking,-1.33007822,36.86335712,street_side,unknown,,24/7,public,"Parking Spot (-1.3301, 36.8634)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.34556459137884,tier2_other,34.5,,,no_ground_truth_reference_available,,127.4,25,estimated_from_street_length_ITDP_methodology,ok_way,1550657965
1550657965,Unnamed Parking,-1.3298535399999998,36.8630918,street_side,unknown,,24/7,public,"Parking Spot (-1.3299, 36.8631)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.307048413115965,tier2_other,34.5,,,no_ground_truth_reference_available,,92.4,18,estimated_from_street_length_ITDP_methodology,ok_way,1550657965
1550657967,Unnamed Parking,-1.3306382142857145,36.86226122857143,street_side,unknown,,24/7,public,"Parking Spot (-1.3306, 36.8623)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.304797519742381,tier2_other,34.5,,,no_ground_truth_reference_available,,182.3,36,estimated_from_street_length_ITDP_methodology,ok_way,1550657968
1550657968,Unnamed Parking,-1.33045554,36.86269265999999,street_side,unknown,,24/7,public,"Parking Spot (-1.3305, 36.8627)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.323576161675263,tier2_other,34.5,,,no_ground_truth_reference_available,,93.3,19,estimated_from_street_length_ITDP_methodology,ok_way,1550657968
1550660256,Unnamed Parking,-1.3308001399999998,36.86040696,street_side,unknown,,24/7,public,"Parking Spot (-1.3308, 36.8604)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.176654942192282,tier2_other,34.5,,,no_ground_truth_reference_available,,289.6,58,estimated_from_street_length_ITDP_methodology,ok_way,1550660258
1550660258,Unnamed Parking,-1.3306897599999998,36.860700480000006,street_side,unknown,,24/7,public,"Parking Spot (-1.3307, 36.8607)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.18978538529563,tier2_other,34.5,,,no_ground_truth_reference_available,,80.1,16,estimated_from_street_length_ITDP_methodology,ok_way,1550660258
1547764674,Unnamed Parking,-1.3271075800000005,36.87083512,street_side,unknown,,24/7,public,"Parking Spot (-1.3271, 36.8708)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.742389128471351,tier2_other,34.5,,,no_ground_truth_reference_available,,114.0,23,estimated_from_street_length_ITDP_methodology,ok_way,1547764675
1547764675,Unnamed Parking,-1.3271152,36.87095924285713,street_side,unknown,,24/7,public,"Parking Spot (-1.3271, 36.8710)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.753651436905445,tier2_other,34.5,,,no_ground_truth_reference_available,,123.1,25,estimated_from_street_length_ITDP_methodology,ok_way,1547764675
1547764676,Unnamed Parking,-1.3286431,36.87071835,street_side,unknown,,24/7,public,"Parking Spot (-1.3286, 36.8707)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.840987298989972,tier2_other,34.5,,,no_ground_truth_reference_available,,119.8,24,estimated_from_street_length_ITDP_methodology,ok_way,1550660821
1547764677,Unnamed Parking,-1.328900327272727,36.87061672727272,street_side,unknown,,24/7,public,"Parking Spot (-1.3289, 36.8706)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.850781402833356,tier2_other,34.5,,,no_ground_truth_reference_available,,248.9,50,estimated_from_street_length_ITDP_methodology,ok_way,1550660821
1547764686,Unnamed Parking,-1.32864496,36.87223766,street_side,unknown,,24/7,public,"Parking Spot (-1.3286, 36.8722)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.971206449386171,tier2_other,34.5,,,no_ground_truth_reference_available,,93.8,19,estimated_from_street_length_ITDP_methodology,ok_way,1550660821
1547764687,Unnamed Parking,-1.32870146,36.87193496,street_side,unknown,,24/7,public,"Parking Spot (-1.3287, 36.8719)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.949160621986158,tier2_other,34.5,,,no_ground_truth_reference_available,,92.7,19,estimated_from_street_length_ITDP_methodology,ok_way,1550660821
1547764688,Unnamed Parking,-1.32883882,36.871955660000005,street_side,unknown,,24/7,public,"Parking Spot (-1.3288, 36.8720)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.960644850671777,tier2_other,34.5,,,no_ground_truth_reference_available,,78.5,16,estimated_from_street_length_ITDP_methodology,ok_way,1550660821
1547764689,Unnamed Parking,-1.3289791666666666,36.87149026666666,street_side,unknown,,24/7,public,"Parking Spot (-1.3290, 36.8715)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.930778602768874,tier2_other,34.5,,,no_ground_truth_reference_available,,158.0,32,estimated_from_street_length_ITDP_methodology,ok_way,1550660821
1550660821,Unnamed Parking,-1.32890294,36.870956320000005,street_side,unknown,,24/7,public,"Parking Spot (-1.3289, 36.8710)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,39,66,1.69,tomtom_flow_api,,False,7.879827355058371,tier2_other,34.5,,,no_ground_truth_reference_available,,62.9,13,estimated_from_street_length_ITDP_methodology,ok_way,1550660821
