facility_name,osm_id,latitude,longitude,image_path,fetch_status,fetch_error,ground_size_m,fetched_at,image_px,image_capture_date_note,resolution_check_status
"Parking Spot (-1.3247, 36.8486)",1548466196,-1.3246963,36.84856783333333,esri_imagery\1548466196.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3250, 36.8486)",1548466197,-1.3249668666666667,36.84859611111111,esri_imagery\1548466197.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3265, 36.8482)",1549029426,-1.3265058,36.84824091666667,esri_imagery\1549029426.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3304, 36.8641)",1550656747,-1.3303984400000002,36.86405446,esri_imagery\1550656747.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3303, 36.8659)",1550656748,-1.33025642,36.86587872,esri_imagery\1550656748.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3303, 36.8651)",1550656749,-1.33026272,36.86509044,esri_imagery\1550656749.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3301, 36.8661)",1550656750,-1.3301224400000002,36.86611276,esri_imagery\1550656750.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3300, 36.8672)",1550656751,-1.32997708,36.86715564,esri_imagery\1550656751.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3298, 36.8682)",1550656752,-1.32984526,36.8681529,esri_imagery\1550656752.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3295, 36.8692)",1550656753,-1.32952312,36.86923844,esri_imagery\1550656753.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3295, 36.8693)",1550656754,-1.32950986,36.86929672,esri_imagery\1550656754.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3303, 36.8627)",1550657963,-1.33027524,36.86272318,esri_imagery\1550657963.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3301, 36.8634)",1550657964,-1.33007822,36.86335712,esri_imagery\1550657964.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3299, 36.8631)",1550657965,-1.3298535399999998,36.8630918,esri_imagery\1550657965.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3306, 36.8623)",1550657967,-1.3306382142857145,36.86226122857143,esri_imagery\1550657967.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3305, 36.8627)",1550657968,-1.33045554,36.86269265999999,esri_imagery\1550657968.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3308, 36.8604)",1550660256,-1.3308001399999998,36.86040696,esri_imagery\1550660256.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3307, 36.8607)",1550660258,-1.3306897599999998,36.860700480000006,esri_imagery\1550660258.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3271, 36.8708)",1547764674,-1.3271075800000005,36.87083512,esri_imagery\1547764674.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3271, 36.8710)",1547764675,-1.3271152,36.87095924285713,esri_imagery\1547764675.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3286, 36.8707)",1547764676,-1.3286431,36.87071835,esri_imagery\1547764676.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3289, 36.8706)",1547764677,-1.328900327272727,36.87061672727272,esri_imagery\1547764677.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3286, 36.8722)",1547764686,-1.32864496,36.87223766,esri_imagery\1547764686.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
"Parking Spot (-1.3287, 36.8719)",1547764687,-1.32870146,36.87193496,esri_imagery\1547764687.png,downloaded,,200,2026-08-27T19:43:11,640,"unknown, check Esri source date per tile before treating any car count from this image as current",usable
