osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access,facility_name_clean,category,zone,operator_tier,pricing_source,tariff_model,base_rate_kes,penalty_fee_kes,county_cost_basis_kes,security_score,accessibility_score,price_transparency_score,overall_rating,sentiment_data_source,time_period,current_speed_kmh,free_flow_speed_kmh,traffic_delay_index,traffic_data_source,total_capacity_bays,capacity_is_reported,parking_pressure_score,calibration_status,distance_to_cbd_km,tier,historical_occupancy_reference_pct,historical_reference_source,relative_parking_pressure_index,calibration_r2,calibration_n
5383782003,Engineers Board of Kenya,-1.2918266,36.8125679,street_side,unknown,,24/7,public,Engineers Board of Kenya,On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,73,73,1.0,tomtom_flow_api,,False,50.3,calibrated,1.054,tier1_cbd,92.0,ITDP_2016_CBD_survey_table_3-5,0.0,0.482,22
77869529,Lavington Mall,-1.2799426,36.7701821,street_side,yes,,24/7,customers,Lavington Mall,On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,34,34,1.0,tomtom_flow_api,,False,50.3,calibrated,5.185,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
133548151,Dean and Lecturers Parking Lot,-1.2688899,36.8180584,street_side,unknown,,24/7,public,Dean and Lecturers Parking Lot,On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,22,52,2.36,tomtom_flow_api,,False,82.4,calibrated,1.609,tier2_other,,not_applicable_outside_surveyed_area,68.0,0.482,22
248994836,Unnamed Parking,-1.2780602,36.8120329,street_side,unknown,,24/7,public,"Parking Spot (-1.2781, 36.8120)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,37,37,1.0,tomtom_flow_api,,False,50.3,calibrated,0.78,tier1_cbd,92.0,ITDP_2016_CBD_survey_table_3-5,0.0,0.482,22
248995504,Unnamed Parking,-1.2783547,36.8122751,street_side,unknown,,24/7,public,"Parking Spot (-1.2784, 36.8123)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,37,37,1.0,tomtom_flow_api,,False,50.3,calibrated,0.738,tier1_cbd,92.0,ITDP_2016_CBD_survey_table_3-5,0.0,0.482,22
382256363,Supa's Garage,-1.3064829,36.8341843,street_side,unknown,,24/7,public,Supa's Garage,On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,60,60,1.0,tomtom_flow_api,,False,50.3,calibrated,3.228,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
687468463,Unnamed Parking,-1.2895412,36.826501,street_side,unknown,,24/7,public,"Parking Spot (-1.2895, 36.8265)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,20,47,2.35,tomtom_flow_api,,False,82.2,calibrated,1.292,tier2_other,,not_applicable_outside_surveyed_area,67.5,0.482,22
696914132,Unnamed Parking,-1.2807158,36.8179057,street_side,unknown,,24/7,customers,"Parking Spot (-1.2807, 36.8179)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,82,82,1.0,tomtom_flow_api,,False,50.3,calibrated,0.317,tier1_cbd,92.0,ITDP_2016_CBD_survey_table_3-5,0.0,0.482,22
1004336474,Unnamed Parking,-1.3071314,36.8348198,street_side,unknown,,24/7,public,"Parking Spot (-1.3071, 36.8348)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,60,60,1.0,tomtom_flow_api,,False,50.3,calibrated,3.329,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
1004336475,Unnamed Parking,-1.3070754,36.8337221,street_side,unknown,,24/7,public,"Parking Spot (-1.3071, 36.8337)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,41,41,1.0,tomtom_flow_api,,False,50.3,calibrated,3.251,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
1054762876,Unnamed Parking,-1.2804681,36.7698729,street_side,unknown,,24/7,public,"Parking Spot (-1.2805, 36.7699)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,34,34,1.0,tomtom_flow_api,,False,50.3,calibrated,5.215,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
1147544484,Unnamed Parking,-1.2963932,36.7635963,street_side,unknown,,24/7,private,"Parking Spot (-1.2964, 36.7636)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,78,78,1.0,tomtom_flow_api,,False,50.3,calibrated,6.08,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
1239066559,Unnamed Parking,-1.298345,36.8023116,street_side,unknown,,24/7,public,"Parking Spot (-1.2983, 36.8023)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,73,73,1.0,tomtom_flow_api,,False,50.3,calibrated,2.315,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
1239066560,Unnamed Parking,-1.2982343,36.8023022,street_side,unknown,,24/7,public,"Parking Spot (-1.2982, 36.8023)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,73,73,1.0,tomtom_flow_api,,False,50.3,calibrated,2.306,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
1412128799,Unnamed Parking,-1.30047,36.8127662,street_side,unknown,,24/7,public,"Parking Spot (-1.3005, 36.8128)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,28,48,1.71,tomtom_flow_api,,False,67.1,calibrated,1.959,tier2_other,,not_applicable_outside_surveyed_area,35.5,0.482,22
1412128800,Unnamed Parking,-1.2996762,36.8129419,street_side,unknown,,24/7,public,"Parking Spot (-1.2997, 36.8129)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,73,73,1.0,tomtom_flow_api,,False,50.3,calibrated,1.868,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
1475486402,Unnamed Parking,-1.2823965,36.817015,street_side,unknown,,24/7,public,"Parking Spot (-1.2824, 36.8170)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,22,44,2.0,tomtom_flow_api,,False,73.9,calibrated,0.106,tier1_cbd,92.0,ITDP_2016_CBD_survey_table_3-5,50.0,0.482,22
1475486403,Unnamed Parking,-1.2821625,36.8168685,street_side,unknown,,24/7,public,"Parking Spot (-1.2822, 36.8169)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,22,44,2.0,tomtom_flow_api,,False,73.9,calibrated,0.128,tier1_cbd,92.0,ITDP_2016_CBD_survey_table_3-5,50.0,0.482,22
1547706891,Unnamed Parking,-1.2905274,36.8196906,street_side,unknown,,24/7,public,"Parking Spot (-1.2905, 36.8197)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,30,45,1.5,tomtom_flow_api,,False,62.1,calibrated,0.87,tier1_cbd,92.0,ITDP_2016_CBD_survey_table_3-5,25.0,0.482,22
1547706892,Unnamed Parking,-1.290286,36.8204788,street_side,unknown,,24/7,public,"Parking Spot (-1.2903, 36.8205)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,30,45,1.5,tomtom_flow_api,,False,62.1,calibrated,0.883,tier1_cbd,92.0,ITDP_2016_CBD_survey_table_3-5,25.0,0.482,22
1547706894,Unnamed Parking,-1.2901412,36.8206117,street_side,unknown,,24/7,public,"Parking Spot (-1.2901, 36.8206)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,30,45,1.5,tomtom_flow_api,,False,62.1,calibrated,0.876,tier1_cbd,92.0,ITDP_2016_CBD_survey_table_3-5,25.0,0.482,22
1547706897,Unnamed Parking,-1.2901086,36.820685,street_sideQ3295867,unknown,,24/7,public,"Parking Spot (-1.2901, 36.8207)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,30,45,1.5,tomtom_flow_api,,False,62.1,calibrated,0.877,tier1_cbd,92.0,ITDP_2016_CBD_survey_table_3-5,25.0,0.482,22
1547762849,Unnamed Parking,-1.3025894,36.8256065,street_side,unknown,,24/7,public,"Parking Spot (-1.3026, 36.8256)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,43,43,1.0,tomtom_flow_api,,False,50.3,calibrated,2.362,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
1547764674,Unnamed Parking,-1.3271509,36.8708477,street_side,unknown,,24/7,public,"Parking Spot (-1.3272, 36.8708)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,49,66,1.35,tomtom_flow_api,,False,58.6,calibrated,7.747,tier2_other,,not_applicable_outside_surveyed_area,17.5,0.482,22
1547764675,Unnamed Parking,-1.3271343,36.8709666,street_side,unknown,,24/7,public,"Parking Spot (-1.3271, 36.8710)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,49,66,1.35,tomtom_flow_api,,False,58.6,calibrated,7.756,tier2_other,,not_applicable_outside_surveyed_area,17.5,0.482,22
1547764676,Unnamed Parking,-1.3285729,36.8707235,street_side,unknown,,24/7,public,"Parking Spot (-1.3286, 36.8707)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,49,66,1.35,tomtom_flow_api,,False,58.6,calibrated,7.836,tier2_other,,not_applicable_outside_surveyed_area,17.5,0.482,22
1547764677,Unnamed Parking,-1.3287021,36.8705942,street_side,unknown,,24/7,public,"Parking Spot (-1.3287, 36.8706)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,49,66,1.35,tomtom_flow_api,,False,58.6,calibrated,7.835,tier2_other,,not_applicable_outside_surveyed_area,17.5,0.482,22
1547764686,Unnamed Parking,-1.3286833,36.8722469,street_side,unknown,,24/7,public,"Parking Spot (-1.3287, 36.8722)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,49,66,1.35,tomtom_flow_api,,False,58.6,calibrated,7.975,tier2_other,,not_applicable_outside_surveyed_area,17.5,0.482,22
1547764687,Unnamed Parking,-1.3287106,36.8719656,street_side,unknown,,24/7,public,"Parking Spot (-1.3287, 36.8720)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,49,66,1.35,tomtom_flow_api,,False,58.6,calibrated,7.952,tier2_other,,not_applicable_outside_surveyed_area,17.5,0.482,22
1547764688,Unnamed Parking,-1.3288417,36.8719866,street_side,unknown,,24/7,public,"Parking Spot (-1.3288, 36.8720)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,49,66,1.35,tomtom_flow_api,,False,58.6,calibrated,7.964,tier2_other,,not_applicable_outside_surveyed_area,17.5,0.482,22
1547764689,Unnamed Parking,-1.3289652,36.8716011,street_side,unknown,,24/7,public,"Parking Spot (-1.3290, 36.8716)",On-Street,Zone II,county_on_street,NCCG_official_on_street,NCCG Zone II - Saloon Daily Flat Fee,100.0,2000.0,535,,,,,unavailable_no_review_data,Peak,49,66,1.35,tomtom_flow_api,,False,58.6,calibrated,7.939,tier2_other,,not_applicable_outside_surveyed_area,17.5,0.482,22
1547874388,Unnamed Parking,-1.2898309,36.825937,street_side,unknown,,24/7,public,"Parking Spot (-1.2898, 36.8259)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,82,82,1.0,tomtom_flow_api,,False,50.3,calibrated,1.258,tier2_other,,not_applicable_outside_surveyed_area,0.0,0.482,22
1547874389,Unnamed Parking,-1.2885149,36.8269544,street_side,unknown,,24/7,public,"Parking Spot (-1.2885, 36.8270)",On-Street,Zone I,county_on_street,NCCG_official_on_street,NCCG Zone I - Saloon Daily Flat Fee,300.0,2000.0,535,,,,,unavailable_no_review_data,Peak,30,45,1.5,tomtom_flow_api,,False,62.1,calibrated,1.279,tier2_other,,not_applicable_outside_surveyed_area,25.0,0.482,22
