osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access
30121680,Unnamed Parking,-1.2896057,36.8150615,surface,unknown,,24/7,public
30498595,Unnamed Parking,-1.2909796,36.8282672,surface,unknown,,24/7,public
30695694,Unnamed Parking,-1.2856445,36.8132893,surface,unknown,,24/7,public
295829518,Unnamed Parking,-1.2597359,36.8182597,surface,unknown,,24/7,public
390312470,Unnamed Parking,-1.2641049,36.8117123,surface,unknown,,24/7,public
498412528,InterContinental Hotel Car Park,-1.2873717,36.8192911,surface,unknown,,24/7,public
597647652,Unnamed Parking,-1.25013,36.8202579,surface,unknown,,24/7,customers
612008431,Olympic Bus Terminus,-1.3126351,36.7778212,surface,unknown,,24/7,public
612008499,Ayany Car Park,-1.3090339,36.7757579,surface,yes,,24/7,public
612932062,Westgate Mall Car Park,-1.2566578,36.8035661,multi-storey,yes,,24/7,public
930204024,Student parking,-1.274479,36.805643,surface,unknown,,24/7,public
968588012,Kenton Rear Parking,-1.2809847,36.7869545,surface,unknown,,24/7,public
1111587086,Unnamed Parking,-1.2553877,36.8667692,surface,unknown,,24/7,public
1112885129,Unnamed Parking,-1.259848,36.8644681,surface,unknown,,24/7,public
1175376518,Travel House Parking,-1.2861727,36.8214386,multi-storey,yes,,24/7,public
1333669443,Lenana Parking Lot Area,-1.2900918,36.800209,surface,unknown,,24/7,public
1392346394,Unnamed Parking,-1.2944773,36.8101427,surface,unknown,,24/7,public
1418962726,Parking B,-1.2806414,36.8128716,surface,unknown,,24/7,public
1418962730,MAIN PACKING,-1.2803274,36.8127162,surface,unknown,,24/7,public
1420033889,YMCA STAFF PARKING,-1.2805756,36.8129968,surface,unknown,,24/7,public
1453530799,Capital Centre Parking Lot,-1.316037,36.8340919,surface,yes,600,24/7,customers
2064445778,Highrise Parking,-1.3155335,36.8052222,surface,unknown,,24/7,public
2145313586,Vumira House Parking Lot,-1.3112488,36.8355363,surface,unknown,,24/7,public
2145316657,Oddyssey Plaza Parking Lot,-1.3108493,36.8360701,surface,unknown,,24/7,public
2324373804,Jogoo House Car Park,-1.288426,36.824186,surface,unknown,,24/7,public
2324373805,Unnamed Parking,-1.2884696,36.8273088,surface,unknown,,24/7,public
2324373806,Unnamed Parking,-1.2885551,36.8270327,surface,unknown,,24/7,public
2324373808,Unnamed Parking,-1.2893101,36.8254079,surface,unknown,,24/7,public
2324373844,Unnamed Parking,-1.2953986,36.8375275,surface,unknown,,24/7,public
2519756646,Unnamed Parking,-1.2743448,36.8051067,surface,unknown,,24/7,public
2519803985,Unnamed Parking,-1.2794317,36.8103813,surface,unknown,,24/7,public
2519818247,Unnamed Parking,-1.2731723,36.805157,surface,unknown,,24/7,public
3803380459,Museums Parking,-1.2730341,36.8156414,surface,unknown,,24/7,public
5372421009,Sunshine Secondary School Parking Lot,-1.3204018,36.8090477,surface,unknown,,24/7,public
5378425144,Equity Centre Car Park,-1.3015834,36.8121121,surface,unknown,,24/7,public
5383782003,Engineers Board of Kenya,-1.2918266,36.8125679,street_side,unknown,,24/7,public
5383782004,Ministry Of Lands Parking Lot,-1.2924766,36.8116836,surface,unknown,,24/7,public
5401775740,Daystar university parking lot,-1.2991941,36.8027448,surface,unknown,,24/7,public
5401775741,Nairobi Baptist Church Parking,-1.2979916,36.800926,surface,unknown,,24/7,public
5414335601,Chaka Place Parking Lot,-1.29224,36.7911521,surface,unknown,,24/7,public
5431142037,Unnamed Parking,-1.2593634,36.8118506,surface,unknown,,24/7,public
5431210796,Unnamed Parking,-1.3185241,36.8261674,surface,unknown,,24/7,public
5431226371,Unnamed Parking,-1.3183048,36.829942,surface,unknown,,24/7,public
5555073964,Donald Car Park,-1.2873973,36.8183799,surface,unknown,,24/7,public
6127848123,Sankara Hotel Car Park,-1.2622751,36.8027813,surface,yes,,24/7,customers
6171020686,Westlands Commercial Centre Car Park,-1.260429,36.8038372,surface,yes,,24/7,yes
6207546810,DRSRS Parking,-1.3222633,36.8360328,surface,unknown,,24/7,public
6207546864,2.5.4 Ole-sereni Parking,-1.3272101,36.8449167,surface,unknown,,24/7,public
6207581201,Vision Plaza Parking Lot,-1.3273514,36.8524338,surface,unknown,,24/7,public
6208217293,Kobil Parking,-1.3282874,36.8915057,surface,unknown,,24/7,public
6223194881,Oil Libya Plaza Parking,-1.2615373,36.8396949,surface,yes,,24/7,public
