facility_name,tier,latitude,longitude,collected_at,hour_of_day,day_of_week,is_weekend,is_holiday,traffic_delay_index,traffic_data_source,parking_pressure_score,calibration_status
Engineers Board of Kenya,tier1_cbd,-1.2918266,36.8125679,2026-08-26T10:11:38,10,2,0,0,1.22,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
Lavington Mall,tier2_other,-1.2799426,36.7701821,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
Dean and Lecturers Parking Lot,tier2_other,-1.2688899,36.8180584,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2781, 36.8120)",tier1_cbd,-1.2780602,36.8120329,2026-08-26T10:11:38,10,2,0,0,3.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2784, 36.8123)",tier1_cbd,-1.2783547,36.8122751,2026-08-26T10:11:38,10,2,0,0,3.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
Supa's Garage,tier2_other,-1.3064829,36.8341843,2026-08-26T10:11:38,10,2,0,0,1.07,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2895, 36.8265)",tier2_other,-1.2895412,36.826501,2026-08-26T10:11:38,10,2,0,0,3.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2807, 36.8179)",tier1_cbd,-1.2807158,36.8179057,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3071, 36.8348)",tier2_other,-1.3071314,36.8348198,2026-08-26T10:11:38,10,2,0,0,1.07,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3071, 36.8337)",tier2_other,-1.3070754,36.8337221,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2805, 36.7699)",tier2_other,-1.2804681,36.7698729,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2964, 36.7636)",tier2_other,-1.2963932,36.7635963,2026-08-26T10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2983, 36.8023)",tier2_other,-1.298345,36.8023116,2026-08-26T10:11:38,10,2,0,0,1.2,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2982, 36.8023)",tier2_other,-1.2982343,36.8023022,2026-08-26T10:11:38,10,2,0,0,1.2,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.3005, 36.8128)",tier2_other,-1.30047,36.8127662,2026-08-26T10:11:38,10,2,0,0,3.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2997, 36.8129)",tier2_other,-1.2996762,36.8129419,2026-08-26T10:11:38,10,2,0,0,1.2,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2824, 36.8170)",tier1_cbd,-1.2823965,36.817015,2026-08-26T10:11:38,10,2,0,0,2.25,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2822, 36.8169)",tier1_cbd,-1.2821625,36.8168685,2026-08-26T10:11:38,10,2,0,0,2.25,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2905, 36.8197)",tier1_cbd,-1.2905274,36.8196906,2026-08-26T10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2903, 36.8205)",tier1_cbd,-1.290286,36.8204788,2026-08-26T10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
"Parking Spot (-1.2901, 36.8206)",tier1_cbd,-1.2901412,36.8206117,2026-08-26T10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data
